,name,model,actual price,old price,discount
956,Salomon,XT-6 Advance,"180,00","180,00",0%
957,Salomon,XA-Alpine Mid Advanced,"210,00","210,00",0%
958,Salomon,XA-Alpine Mid Advanced,"210,00","210,00",0%
959,Vans Vault,Sk8-Hi Reissue LX,"60,50","110,00",45%
960,Vans,Authentic VTL LX,"50,00","100,00",50%
961,Vans,Danger Acer Mesh NI SP,"45,00","90,00",50%
962,Vans,Danger Acer Mesh NI SP,"45,00","90,00",50%
963,Clarks,Wallabee Boots,"120,00","240,00",50%
964,Nike SB,Adversary Premium,"85,00","85,00",0%
965,New Balance,Higher Learning ,"55,00","100,00",45%
966,Nike SB,Zoom Blazer Mid Premium,"100,00","100,00",0%
967,Nike SB,Zoom Janoski Canvas RM Premium,"85,00","85,00",0%
968,Vans Vault,"Sk8-Hi Reissue LX ""Dream Leather""","60,00","120,00",50%
969,Vans Vault,Sk8-Hi Reissue LX,"55,00","110,00",50%
970,Converse,Pro Leather X2 Tech Hi x Paria Farzaneh,"70,00","140,00",50%
971,Vans Vault,"Sk8-Hi Reissue LX ""True White""","60,00","120,00",50%
972,Vans Vault,Sk8-Hi Reissue LX,"55,00","110,00",50%
973,Crocs,Women's Classic Platform Clog,"60,00","60,00",0%
974,Crocs,Classic Vacay Vibes Clog U,"50,00","50,00",0%
975,Nike SB,Nyjah Free 2,"95,00","95,00",0%
976,Nike SB,Shane,"75,00","75,00",0%
977,Nike SB,Bruin React,"100,00","100,00",0%
978,Salomon,XT-Wings 2 Advanced,"145,00","145,00",0%
979,Salomon,XT-Wings 2 Advanced,"145,00","145,00",0%
980,Nike,"Dunk Low Retro ""Georgetown""","100,00","100,00",0%
981,Nike,Free Run 2,"88,00","110,00",20%
982,Nike SB,Zoom Blazer Mid Premium,"100,00","100,00",0%
983,adidas,CT86,"50,00","100,00",50%
984,Nike,Waffle Trainer 2,"45,00","90,00",50%
985,Converse,Run Star Hike LTD Hi,"70,00","140,00",50%
986,adidas,Torino,"55,00","110,00",50%
987,adidas,Women's Valerance,"60,00","120,00",50%
988,Crocs,Classic All Terrain Outdoor x Beams,"70,00","70,00",0%
989,Vans,Authentic,"45,00","90,00",50%
990,Vans,Boot Skoot,"75,00","150,00",50%
991,Vans,Authentic,"45,00","90,00",50%
992,Vans,Slip-On,"60,00","120,00",50%
993,Vans,Boot Skoot,"75,00","150,00",50%
994,Vans,Epoch Racer x Taka Hayashi,"67,50","135,00",50%
995,Vans,SK8-HI Reissue,"55,00","110,00",50%
996,Vans,Epoch Racer x Taka Hayashi,"67,50","135,00",50%
997,Vans,Style 36,"50,00","100,00",50%
998,Nike,Waffle Trainer 2 SP,"50,00","100,00",50%
999,Nike SB,Nyjah Free 2,"47,50","95,00",50%
1000,Nike SB,Shane T,"75,00","75,00",0%
1001,Reebok,Question Mid,"80,00","160,00",50%
1002,Reebok,BB 4000,"50,00","100,00",50%
1003,Reebok,Women's Club C Double Geo,"50,00","100,00",50%
1004,adidas,Indoor CT,"60,00","120,00",50%
1005,adidas,Stan Smith,"50,00","100,00",50%
1006,adidas,"Stan Smith ""Primegreen""","50,00","100,00",50%
1007,adidas,Stan Smith x Disney,"50,00","100,00",50%
1008,Converse,"Chuck 70 Hi ""Hardwood Floor"" x NBA Jam","50,00","100,00",50%
1009,adidas,Stan Smith x Marvel,"50,00","100,00",50%
